iter	Passed	Remaining
0	152	152597
1	158	78851
2	159	53137
3	161	40133
4	162	32307
5	163	27085
6	165	23422
7	166	20684
8	169	18708
9	170	16920
10	172	15473
11	173	14273
12	175	13305
13	176	12418
14	177	11647
15	179	11021
16	183	10595
17	185	10133
18	186	9653
19	188	9223
20	189	8836
21	191	8505
22	193	8206
23	194	7905
24	196	7682
25	198	7438
26	199	7202
27	201	6977
28	202	6769
29	203	6576
30	206	6460
31	208	6317
32	210	6164
33	211	6009
34	214	5906
35	215	5774
36	216	5644
37	217	5518
38	219	5399
39	221	5307
40	222	5199
41	223	5096
42	224	5002
43	227	4936
44	228	4846
45	229	4760
46	230	4677
47	231	4600
48	233	4525
49	234	4453
50	235	4383
51	236	4316
52	238	4255
53	239	4194
54	240	4139
55	243	4097
56	244	4043
57	245	3988
58	246	3938
59	248	3894
60	250	3849
61	251	3803
62	252	3758
63	254	3725
64	255	3680
65	257	3643
66	258	3603
67	259	3554
68	260	3517
69	262	3485
70	265	3467
71	266	3433
72	267	3398
73	268	3364
74	271	3346
75	272	3313
76	273	3283
77	275	3260
78	277	3230
79	278	3198
80	279	3169
81	280	3142
82	281	3114
83	282	3085
84	283	3053
85	284	3028
86	285	2998
87	286	2973
88	287	2947
89	289	2928
90	291	2910
91	292	2886
92	293	2863
93	294	2842
94	295	2819
95	297	2797
96	298	2775
97	299	2755
98	300	2735
99	301	2716
100	303	2698
101	308	2718
102	310	2705
103	313	2702
104	316	2694
105	317	2678
106	319	2662
107	322	2660
108	323	2644
109	325	2636
110	327	2624
111	330	2617
112	333	2620
113	335	2606
114	336	2591
115	337	2574
116	339	2562
117	340	2548
118	342	2532
119	343	2520
120	346	2514
121	348	2509
122	349	2490
123	353	2498
124	355	2487
125	357	2482
126	360	2476
127	361	2460
128	362	2450
129	364	2440
130	366	2430
131	367	2417
132	368	2405
133	370	2394
134	371	2382
135	373	2372
136	374	2361
137	375	2348
138	380	2356
139	382	2350
140	384	2344
141	386	2334
142	393	2357
143	395	2352
144	398	2348
145	403	2360
146	409	2378
147	416	2398
148	420	2401
149	422	2394
150	424	2388
151	427	2383
152	430	2382
153	436	2399
154	439	2394
155	443	2397
156	448	2406
157	451	2404
158	453	2397
159	454	2387
160	456	2377
161	457	2368
162	459	2360
163	461	2350
164	463	2343
165	466	2341
166	467	2332
167	469	2325
168	471	2320
169	473	2310
170	474	2300
171	475	2290
172	477	2283
173	479	2274
174	484	2285
175	486	2276
176	487	2268
177	491	2270
178	495	2274
179	498	2268
180	498	2257
181	500	2250
182	502	2242
183	503	2234
184	505	2226
185	506	2217
186	508	2209
187	511	2209
188	512	2200
189	514	2192
190	515	2182
191	516	2174
192	518	2167
193	520	2162
194	522	2156
195	523	2148
196	525	2140
197	526	2133
198	528	2126
199	532	2129
200	545	2168
201	581	2295
202	591	2322
203	596	2329
204	607	2354
205	609	2347
206	612	2344
207	614	2337
208	615	2331
209	619	2330
210	621	2323
211	622	2314
212	626	2314
213	629	2311
214	632	2308
215	634	2302
216	641	2313
